Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1095172,Debt collection,Credit card,Taking/threatening an illegal action,Attempted to/Collected exempt funds,OK,73099,Referral,10/31/2014,11/05/2014,"Love, Beal & Nixon, P.C.",Closed with explanation,Yes,
1094881,Bank account or service,Other bank product/service,Using a debit or ATM card,,CA,92877,Web,10/31/2014,10/31/2014,Bank of America,In progress,Yes,
1094876,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90018,Web,10/31/2014,10/31/2014,Innovis,Closed with explanation,Yes,Yes
1097177,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,CA,91711,Web,10/31/2014,11/01/2014,Equifax,Closed with explanation,Yes,
1094972,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90036,Web,10/31/2014,10/31/2014,Innovis,Closed with explanation,Yes,Yes
1095043,Credit card,,APR or interest rate,,FL,32810,Web,10/31/2014,10/31/2014,Capital One,In progress,Yes,
1095347,Money transfers,International money transfer,Incorrect/missing disclosures or info,,FL,33131,Web,10/31/2014,10/31/2014,Wells Fargo,Closed with explanation,Yes,
1095016,Credit reporting,,Incorrect information on credit report,Public record,NY,11209,Web,10/31/2014,10/31/2014,TransUnion,In progress,Yes,
1095367,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,GA,30324,Web,10/31/2014,10/31/2014,Equifax,Closed with explanation,Yes,
1097189,Credit reporting,,Incorrect information on credit report,Public record,CA,92675,Web,10/31/2014,11/01/2014,Equifax,Closed with explanation,Yes,
1095734,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,GA,30028,Web,10/31/2014,10/31/2014,BB&T Financial,Closed with explanation,Yes,
1095037,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,92394,Web,10/31/2014,10/31/2014,JPMorgan Chase,In progress,Yes,
1095075,Credit card,,Billing disputes,,FL,32164,Web,10/31/2014,10/31/2014,Citibank,Closed with explanation,Yes,
1095725,Consumer loan,Installment loan,Managing the loan or lease,,GA,30019,Web,10/31/2014,11/06/2014,Wells Fargo,Closed with non-monetary relief,Yes,
1095104,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,TX,78230,Web,10/31/2014,10/31/2014,JPMorgan Chase,Closed with monetary relief,Yes,
1097196,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,95765,Web,10/31/2014,11/01/2014,"State Collection Service, Inc.",Closed with explanation,Yes,
1095178,Bank account or service,Checking account,Deposits and withdrawals,,MD,21613,Web,10/31/2014,10/31/2014,Bank of America,In progress,Yes,
1097186,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TX,78669,Web,10/31/2014,11/01/2014,"ProCollect, Inc",Closed with explanation,Yes,
1097200,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,IL,62656,Web,10/31/2014,11/06/2014,"Professional Finance Company, Inc.",Closed,Yes,
1095096,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,NY,14901,Web,10/31/2014,11/06/2014,RR Resource-Recovery,Closed with explanation,Yes,
1097198,Credit card,,Delinquent account,,NY,12077,Web,10/31/2014,11/01/2014,GE Capital Retail,Closed with monetary relief,Yes,
1097486,Credit reporting,,Incorrect information on credit report,Information is not mine,IL,60628,Web,10/31/2014,11/01/2014,Experian,Closed with non-monetary relief,Yes,Yes
1095412,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,OR,97302,Web,10/31/2014,11/05/2014,Stellar Recovery Inc.,Closed with explanation,Yes,Yes
1096674,Credit card,,Billing disputes,,TX,78253,Web,10/31/2014,10/31/2014,Discover,In progress,Yes,
1097160,Credit card,,Billing disputes,,FL,34787,Web,10/31/2014,10/31/2014,Wells Fargo,Closed with explanation,Yes,
1095039,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,GA,30114,Web,10/31/2014,10/31/2014,Encore Capital Group,Closed with explanation,Yes,
1096701,Credit reporting,,Incorrect information on credit report,Account terms,OH,44139,Web,10/31/2014,10/31/2014,TransUnion,In progress,Yes,
1096702,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90018,Web,10/31/2014,10/31/2014,Experian,Closed with explanation,Yes,Yes
1096694,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,FL,34986,Referral,10/31/2014,11/05/2014,"NCB Management Services, Inc.",Closed with explanation,Yes,
1096699,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,33312,Web,10/31/2014,10/31/2014,M&T Bank,Closed with explanation,Yes,
1096707,Debt collection,,Communication tactics,Frequent or repeated calls,VA,22812,Web,10/31/2014,10/31/2014,Creditors Collection Service,Closed with explanation,Yes,
1096704,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90018,Web,10/31/2014,10/31/2014,TransUnion,Closed with explanation,Yes,Yes
1096518,Credit reporting,,Incorrect information on credit report,Account terms,IN,46229,Web,10/31/2014,10/31/2014,TransUnion,Closed with explanation,Yes,
1095813,Credit card,,Identity theft / Fraud / Embezzlement,,CA,93245,Referral,10/31/2014,11/05/2014,Wells Fargo,Closed with explanation,Yes,
1096705,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90018,Web,10/31/2014,10/31/2014,Innovis,Closed with explanation,Yes,Yes
1096001,Credit reporting,,Incorrect information on credit report,Information is not mine,CT,06484,Web,10/31/2014,10/31/2014,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,
